"","Jahr","Quarter","Stadt","total"
"2244",2015,1,"Berlin",5861052
"2245",2016,1,"Berlin",6335025
"2246",2017,1,"Berlin",6311436
"2247",2018,1,"Berlin",6710448
"2248",2019,1,"Berlin",7037757
"2249",2020,1,"Berlin",5419479
"2250",2021,1,"Berlin",957194
"2251",2022,1,"Berlin",3531889
"2252",2023,1,"Berlin",5797809
"2253",2024,1,"Berlin",6262124
"2254",1998,2,"Berlin",2363354
"2255",1999,2,"Berlin",2527434
"2256",2000,2,"Berlin",3317480
"2257",2001,2,"Berlin",3328670
"2258",2002,2,"Berlin",3180268
"2259",2003,2,"Berlin",3256713
"2260",2004,2,"Berlin",3705195
"2261",2005,2,"Berlin",3918540
"2262",2006,2,"Berlin",4286581
"2263",2007,2,"Berlin",4703753
"2264",2008,2,"Berlin",4741360
"2265",2009,2,"Berlin",4975646
"2266",2010,2,"Berlin",5580780
"2267",2011,2,"Berlin",6144730
"2268",2012,2,"Berlin",6666962
"2269",2013,2,"Berlin",7139001
"2270",2014,2,"Berlin",7761038
"2271",2015,2,"Berlin",7953828
"2272",2016,2,"Berlin",8086881
"2273",2017,2,"Berlin",8367690
"2274",2018,2,"Berlin",8589425
"2275",2019,2,"Berlin",9067561
"2276",2020,2,"Berlin",1100419
"2277",2021,2,"Berlin",1581072
"2278",2022,2,"Berlin",7611790
"2279",2023,2,"Berlin",8020614
"2280",2024,2,"Berlin",8097657
"2281",1998,3,"Berlin",2411919
"2282",1999,3,"Berlin",2783944
"2283",2000,3,"Berlin",3318171
"2284",2001,3,"Berlin",3326242
"2285",2002,3,"Berlin",3178001
"2286",2003,3,"Berlin",3282171
"2287",2004,3,"Berlin",3971076
"2288",2005,3,"Berlin",4354577
"2289",2006,3,"Berlin",4714420
"2290",2007,3,"Berlin",5038952
"2291",2008,3,"Berlin",5216907
"2292",2009,3,"Berlin",5715682
"2293",2010,3,"Berlin",6170862
"2294",2011,3,"Berlin",6609072
"2295",2012,3,"Berlin",7431290
"2296",2013,3,"Berlin",7969882
"2297",2014,3,"Berlin",8388557
"2298",2015,3,"Berlin",8963586
"2299",2016,3,"Berlin",8903378
"2300",2017,3,"Berlin",8975984
"2301",2018,3,"Berlin",9483772
"2302",2019,3,"Berlin",9651204
"2303",2020,3,"Berlin",4205140
"2304",2021,3,"Berlin",5980161
"2305",2022,3,"Berlin",8398717
"2306",2023,3,"Berlin",8548095
"2307",1998,4,"Berlin",1971508
"2308",1999,4,"Berlin",2569284
"2309",2000,4,"Berlin",2765459
"2310",2001,4,"Berlin",2595972
"2311",2002,4,"Berlin",2609961
"2312",2003,4,"Berlin",2828053
"2313",2004,4,"Berlin",3214982
"2314",2005,4,"Berlin",3568135
"2315",2006,4,"Berlin",3962113
"2316",2007,4,"Berlin",4189108
"2317",2008,4,"Berlin",4345114
"2318",2009,4,"Berlin",4751645
"2319",2010,4,"Berlin",5024102
"2320",2011,4,"Berlin",5529585
"2321",2012,4,"Berlin",6124277
"2322",2013,4,"Berlin",6588597
"2323",2014,4,"Berlin",7129162
"2324",2015,4,"Berlin",7471600
"2325",2016,4,"Berlin",7742491
"2326",2017,4,"Berlin",7494980
"2327",2018,4,"Berlin",8087989
"2328",2019,4,"Berlin",8367842
"2329",2020,4,"Berlin",1553422
"2330",2021,4,"Berlin",5441693
"2331",2022,4,"Berlin",6983973
"2332",2023,4,"Berlin",7222925
"2333",1998,1,"Amsterdam",1430000
"2334",1999,1,"Amsterdam",1591100
"2335",2000,1,"Amsterdam",1573600
"2336",2001,1,"Amsterdam",1608800
"2337",2002,1,"Amsterdam",1673000
"2338",2003,1,"Amsterdam",1452700
"2339",2004,1,"Amsterdam",1538400
"2340",2005,1,"Amsterdam",1683500
"2341",2006,1,"Amsterdam",1717200
"2342",2007,1,"Amsterdam",1904900
"2343",2008,1,"Amsterdam",1883700
"2344",2009,1,"Amsterdam",1706000
"2345",2010,1,"Amsterdam",1934600
"2346",2011,1,"Amsterdam",1908200
"2347",2012,1,"Amsterdam",2060000
"2348",2013,1,"Amsterdam",2252000
"2349",2014,1,"Amsterdam",2538000
"2350",2015,1,"Amsterdam",2707000
"2351",2016,1,"Amsterdam",3137000
"2352",2017,1,"Amsterdam",3413000
"2353",2018,1,"Amsterdam",3679000
"2354",2019,1,"Amsterdam",4089000
"2355",2020,1,"Amsterdam",3017000
"2356",2021,1,"Amsterdam",378000
"2357",2022,1,"Amsterdam",1919000
"2358",2023,1,"Amsterdam",4304000
"2359",2024,1,"Amsterdam",4580000
"2360",1998,2,"Amsterdam",1934200
"2361",1999,2,"Amsterdam",2003600
"2362",2000,2,"Amsterdam",1990400
"2363",2001,2,"Amsterdam",2092300
"2364",2002,2,"Amsterdam",2024700
"2365",2003,2,"Amsterdam",1884700
"2366",2004,2,"Amsterdam",2039100
"2367",2005,2,"Amsterdam",2100100
"2368",2006,2,"Amsterdam",2318000
"2369",2007,2,"Amsterdam",2362100
"2370",2008,2,"Amsterdam",2265800
"2371",2009,2,"Amsterdam",2299200
"2372",2010,2,"Amsterdam",2561200
"2373",2011,2,"Amsterdam",2666700
"2374",2012,2,"Amsterdam",2937000
"2375",2013,2,"Amsterdam",3067000
"2376",2014,2,"Amsterdam",3372000
"2377",2015,2,"Amsterdam",3460000
"2378",2016,2,"Amsterdam",3670000
"2379",2017,2,"Amsterdam",4276000
"2380",2018,2,"Amsterdam",4359000
"2381",2019,2,"Amsterdam",4884000
"2382",2020,2,"Amsterdam",337000
"2383",2021,2,"Amsterdam",718000
"2384",2022,2,"Amsterdam",4807000
"2385",2023,2,"Amsterdam",5532000
"2386",2024,2,"Amsterdam",5562000
"2387",1998,3,"Amsterdam",2097900
"2388",1999,3,"Amsterdam",2166200
"2389",2000,3,"Amsterdam",2202800
"2390",2001,3,"Amsterdam",2119600
"2391",2002,3,"Amsterdam",2095900
"2392",2003,3,"Amsterdam",1981700
"2393",2004,3,"Amsterdam",2200500
"2394",2005,3,"Amsterdam",2308500
"2395",2006,3,"Amsterdam",2476800
"2396",2007,3,"Amsterdam",2494600
"2397",2008,3,"Amsterdam",2325800
"2398",2009,3,"Amsterdam",2530900
"2399",2010,3,"Amsterdam",2912100
"2400",2011,3,"Amsterdam",2836800
"2401",2012,3,"Amsterdam",3101000
"2402",2013,3,"Amsterdam",3274000
"2403",2014,3,"Amsterdam",3595000
"2404",2015,3,"Amsterdam",3659000
"2405",2016,3,"Amsterdam",3855000
"2406",2017,3,"Amsterdam",4362000
"2407",2018,3,"Amsterdam",4631000
"2408",2019,3,"Amsterdam",5021000
"2409",2020,3,"Amsterdam",1881000
"2410",2021,3,"Amsterdam",2331000
"2411",2022,3,"Amsterdam",5318000
"2412",2023,3,"Amsterdam",5642000
"2413",1998,4,"Amsterdam",1655600
"2414",1999,4,"Amsterdam",1678800
"2415",2000,4,"Amsterdam",1767600
"2416",2001,4,"Amsterdam",1716700
"2417",2002,4,"Amsterdam",1662200
"2418",2003,4,"Amsterdam",1695400
"2419",2004,4,"Amsterdam",1844400
"2420",2005,4,"Amsterdam",1894800
"2421",2006,4,"Amsterdam",2075400
"2422",2007,4,"Amsterdam",2082900
"2423",2008,4,"Amsterdam",1834400
"2424",2009,4,"Amsterdam",2025200
"2425",2010,4,"Amsterdam",2316700
"2426",2011,4,"Amsterdam",2317050
"2427",2012,4,"Amsterdam",2466000
"2428",2013,4,"Amsterdam",2669000
"2429",2014,4,"Amsterdam",3031000
"2430",2015,4,"Amsterdam",3072000
"2431",2016,4,"Amsterdam",3321000
"2432",2017,4,"Amsterdam",3806000
"2433",2018,4,"Amsterdam",4005000
"2434",2019,4,"Amsterdam",4382000
"2435",2020,4,"Amsterdam",567000
"2436",2021,4,"Amsterdam",2346000
"2437",2022,4,"Amsterdam",4729000
"2438",2023,4,"Amsterdam",4908000
